"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
67,12,"Danny Willett","12920",-0.776690503046333,0.669596632345962,2.99963378126232,78.4243060559592,83.4127417726056,336,-0.248721801006252,0.379585307540833,1,"ENG",83,"European Tour","European Tour",-0.968044706695002,0.640515912599491,0.00010023459172984,3.17901011744399,2.92394308625203,2017-01-25
68,180,"Lucas Glover","7399",-0.768965469517972,0.675901491776604,2.80601923714872,67.5827498520994,72.2690590261335,314,-0.380838567338001,0.351068631161165,1,"USA",71,"PGA Tour","PGA Tour",-0.981891705056988,0.643022492910807,9.76356051756557e-05,2.678133782538,2.72339881997897,2017-01-25
69,44,"Chris Wood","12451",-0.759821388886252,0.67793532565318,2.83900194548441,68.7019542380159,73.4769290666215,300,-0.121043747355301,0.371161153346085,1,"ENG",76,"European Tour","European Tour",-0.981528514241806,0.643705727935685,9.95467960952062e-05,2.76837139144994,2.7568706427208,2017-01-25
70,107,"Brian Harman","8825",-0.756395971401386,0.659874224979239,2.81627031420507,91.3414196559892,96.5657274594582,409,-0.512175680406277,0.377552223287754,1,"USA",104,"PGA Tour","PGA Tour",-0.910150374885739,0.636558478306469,0.000131699673652261,2.72260327314072,2.73787225594635,2017-01-25
71,21,"Jimmy Walker","7293",-0.749574458844688,0.666843826079368,3.06819076502111,78.3433860389506,83.2463451405679,374,-0.780237883327701,0.358156360747486,1,"USA",86,"PGA Tour","PGA Tour",-0.915766092460863,0.640024701281729,0.00013822295564018,3.35425930565682,2.99484788965661,2017-01-25
72,31,"Matthew Fitzpatrick","17646",-0.746237683443475,0.669483047680221,2.86524812402193,80.5597726616795,85.6441742379235,271,-0.0024139935224757,0.393348075322367,1,"ENG",87,"European Tour","European Tour",-0.94218559652981,0.639971851982178,0.000116715763940635,2.83723499358837,2.78593597576829,2017-01-25
73,54,"Hideto Tanihara","7046",-0.745536589669503,0.666010447015665,2.76873745353356,96.2938914927334,101.942968823756,353,0.679005868489045,0.446357977169336,0,"JPN",101,"Japan Golf Tour","Japan Golf Tour",-0.943148726947865,0.637314516122567,0.000108612344210528,2.61272845243199,2.68744063582165,2017-01-25
74,89,"Hudson Swafford","14706",-0.738307937174118,0.661493978586752,2.81463371845771,90.723981084726,95.9907500366893,381,-0.44569301269244,0.38948223630384,1,"USA",104,"PGA Tour","PGA Tour",-0.894933280862571,0.636699399632344,0.000145567293040751,2.71779498021022,2.73579763238668,2017-01-25
75,187,"Chad Campbell","6248",-0.728930705315364,0.665369464100972,2.77709445374263,83.9563425588913,89.0770389260788,360,-0.421623776988088,0.386080745728204,1,"USA",94,"PGA Tour","PGA Tour",-0.898138423326833,0.638150157394982,0.000147703426593908,2.62252567671184,2.69620790764549,2017-01-25
76,53,"Tommy Fleetwood","12294",-0.728486667415405,0.662450166577949,2.77184976580781,89.8960345302211,95.1252812677238,400,0.0965693725608265,0.384721472207162,1,"ENG",93,"European Tour","European Tour",-0.908356309396392,0.638008297606402,0.000137981755174511,2.61672225799878,2.69152575707714,2017-01-25
77,76,"Roberto Castro","12643",-0.708408330278534,0.667017194681959,2.78068002885611,78.7899142626034,83.7294050219263,367,-0.453212167442275,0.365399752695543,1,"USA",86,"PGA Tour","PGA Tour",-0.885339063986977,0.639583959384609,0.000165631681150587,2.62577731190454,2.6994943016939,2017-01-25
78,48,"Andy Sullivan","15326",-0.70351125083057,0.663988052829229,2.88980172567503,86.6406931541243,91.7956616688313,370,-0.0837415519371392,0.382030303419428,1,"ENG",94,"European Tour","European Tour",-0.880339309959983,0.638516592691255,0.000166651972736878,2.89542347363667,2.81248535630222,2017-01-25
79,34,"Yuta Ikeda","8236",-0.688639605615196,0.660698287969015,2.86014044286533,103.334901967295,109.038713291504,381,0.794316877687745,0.426537652284469,0,"JPN",113,"Japan Golf Tour","Japan Golf Tour",-0.875091891333128,0.636355230724059,0.000163649098095957,2.81926671469057,2.78278298205029,2017-01-25
80,78,"Sean O'Hair","7626",-0.677899744895976,0.669059030670848,2.83056443576938,79.4038821103039,84.4426245021955,341,-0.540782592472942,0.387573592372734,1,"USA",89,"PGA Tour","PGA Tour",-0.847942714313043,0.63947834965156,0.000208472148354106,2.75087021739671,2.75035543857884,2017-01-25
81,87,"Pat Perez","6762",-0.675029610603708,0.701179302162434,2.85883073640278,48.3491801443769,52.5682832161144,291,-0.504460814920362,0.297462364238756,1,"USA",32,"PGA Tour","PGA Tour",-0.953759022600947,0.652859011659571,0.000147884097057721,2.82266797677159,2.77150875257869,2017-01-25
82,83,"Anirban Lahiri","12669",-0.670292129996425,0.663963780090401,2.89255323573163,86.947773314166,92.1331051236684,356,-0.140261237009781,0.387665317986423,1,"IND",98,"PGA Tour","Asian Tour",-0.842335384639498,0.637940015558292,0.000208346225129983,2.90171010925157,2.8153181561361,2017-01-25
83,58,"Thongchai Jaidee","5973",-0.659237306718041,0.658153402668744,2.62702163253041,100.108320392137,105.593020263433,417,0.13128979901377,0.396510472560273,1,"THA",103,"European Tour","European Tour",-0.820451371176658,0.635843777718885,0.000227372909651747,2.30572626096812,2.54324138774484,2017-01-25
84,260,"Stewart Cink","5665",-0.650385617648146,0.677314148294594,2.74604307981588,66.5748025272437,71.2492732936113,327,-0.359060645217343,0.352827412709765,1,"USA",65,"PGA Tour","PGA Tour",-0.859179042597147,0.643451039393335,0.000212990506584496,2.50781514079435,2.66120238627667,2017-01-25
85,185,"Luke List","7960",-0.639756904850105,0.672595264731986,2.84423079094583,79.7225247571691,84.8957525555553,303,-0.109097524509482,0.419762872157596,1,"USA",94,"PGA Tour","PGA Tour",-0.826766387929428,0.639513108259553,0.000237655973695493,2.78312057740699,2.76356009560575,2017-01-25
86,90,"Luke Donald","4163",-0.637898973351806,0.665839204780243,2.74122274658062,76.0412834470403,80.808079291296,361,-0.485140268308328,0.333186339533035,1,"ENG",86,"PGA Tour","PGA Tour",-0.814853903001423,0.640493209321542,0.000261236610864402,2.52169829658042,2.65912773287569,2017-01-25
87,68,"Charley Hoffman","5768",-0.63645675413047,0.66681009164179,2.85571866996371,76.9216415932669,81.766792545784,372,-0.630263736573938,0.349745773661411,1,"USA",94,"PGA Tour","PGA Tour",-0.805140123869028,0.640113431270642,0.000274789107596619,2.81681067200824,2.77677752505741,2017-01-25
88,71,"Danny Lee","11826",-0.622047861210536,0.658941810743414,2.93753054797766,90.3655271620747,95.5020284652034,399,-0.396422323936598,0.362195929028006,1,"NZL",103,"PGA Tour","PGA Tour",-0.774247043620704,0.636880460513479,0.000308642169543243,3.00605562385402,2.86267032861908,2017-01-25
89,109,"Robert Streb","14852",-0.615401705240181,0.665620472700548,2.82455071877789,78.2917879923586,83.1568041684116,362,-0.561955095406317,0.348699706841855,1,"USA",85,"PGA Tour","PGA Tour",-0.782762185828327,0.639769234926141,0.000312207002718783,2.73766069313744,2.74500203083178,2017-01-25
90,91,"Graeme McDowell","7548",-0.610507752701707,0.672524437171224,2.86270621102014,70.3889055325489,75.1018151670769,327,-0.401567511023403,0.344630911747071,1,"NIR",76,"PGA Tour","PGA Tour",-0.803536293801818,0.642489446037291,0.000292304836586789,2.83583045931468,2.78258831522394,2017-01-25
