"Player_ID","Player_Name","Event_Name","Event_ID","Rank","OWGR_Rank","Projected_Rating","Projected_Stdev","Recent_Tour","Rounds_Last_Year","Win","Top_5","Top_10","Win_Rank"
8480,"Kevin Streelman","Masters Tournament",6149,101,120,-0.551364237608952,2.83437236309534,"PGA Tour",80,0.0031,0.02366,0.058146,63
7636,"Hunter Mahan","Masters Tournament",6149,88,104,-0.639007557306078,2.70664722827392,"PGA Tour",81,0.002736,0.022448,0.05786,64
6149,"Soren Kjeldsen","Masters Tournament",6149,114,44,-0.47353323902993,2.8210169335119,"European Tour",110,0.00259,0.020228,0.051544,65
8571,"Fabian Gomez","Masters Tournament",6149,141,60,-0.338335881273229,2.84734824303918,"PGA Tour",84,0.002222,0.017294,0.044224,66
653,"Vijay Singh","Masters Tournament",6149,119,215,-0.460660510527534,2.76114980397034,"PGA Tour",85,0.00212,0.01798,0.047564,67
15856,"Cameron Smith","Masters Tournament",6149,142,102,-0.3330376503393,2.82463916095483,"PGA Tour",83,0.002014,0.01617,0.042344,68
13367,"Troy Merritt","Masters Tournament",6149,172,85,-0.183512679648407,2.95911500733373,"PGA Tour",82,0.002008,0.015794,0.039772,69
6930,"Vaughn Taylor","Masters Tournament",6149,132,97,-0.392819024596578,2.7784184012425,"PGA Tour",62,0.001892,0.01653,0.043944,70
874,"Ernie Els","Masters Tournament",6149,163,218,-0.22813111121873,2.77083727704951,"PGA Tour",88,0.001324,0.012012,0.033538,71
19841,"Bryson DeChambeau(Am)","Masters Tournament",6149,245,464,0.0322292190901513,2.88810212631387,"European Tour",34,0.001138,0.009428,0.026464,72
7053,"Steven Bowditch","Masters Tournament",6149,393,87,0.561306161866329,3.23831107779469,"PGA Tour",108,0.00108,0.00784,0.019828,73
3464,"Davis Love III","Masters Tournament",6149,236,159,0.0127670442673644,2.77740805382693,"PGA Tour",52,0.000858,0.007798,0.022974,74
5717,"Angel Cabrera","Masters Tournament",6149,271,328,0.124602129928399,2.87932869979867,"PGA Tour",64,0.000856,0.00807,0.022896,75
290,"Bernhard Langer","Masters Tournament",6149,442,1080,0.66797157776931,3.11603712886813,"None",12,0.00057,0.005024,0.014054,76
16652,"Romain Langasque(Am)","Masters Tournament",6149,434,618,0.646124995315632,2.98672312141978,"European Challenge Tour",18,0.000402,0.004002,0.011598,77
5935,"Trevor Immelman","Masters Tournament",6149,599,1669,0.999872792248414,2.80213874037141,"PGA Tour",45,6.6e-05,0.000938,0.003616,78
17351,"Jin Cheng(am)","Masters Tournament",6149,810,624,1.38544387052723,2.89560715771483,"PGA Tour China",46,5.8e-05,0.000612,0.002258,79
3523,"Darren Clarke","Masters Tournament",6149,778,612,1.32054252471602,2.87438446958537,"European Tour",63,5.4e-05,0.000586,0.002352,80
226,"Tom Watson","Masters Tournament",6149,1027,1577,1.73370006744303,3.07089179866653,"None",12,3.6e-05,0.000416,0.001704,81
NA,"Derek Bard(Am)","Masters Tournament",6149,NA,NA,3,3,NA,NA,2e-05,0.000266,0.001192,84.5
NA,"Mark O'Meara","Masters Tournament",6149,NA,NA,2,3,NA,NA,2e-05,0.000266,0.001192,84.5
NA,"Larry Mize","Masters Tournament",6149,NA,NA,3,3,NA,NA,2e-05,0.000266,0.001192,84.5
NA,"Ian Woosnam","Masters Tournament",6149,NA,NA,3,3,NA,NA,2e-05,0.000266,0.001192,84.5
NA,"Paul Chaplet(Am)","Masters Tournament",6149,NA,NA,3,3,NA,NA,2e-05,0.000266,0.001192,84.5
NA,"Sammy Schmitz(Am)","Masters Tournament",6149,NA,NA,3,3,NA,NA,2e-05,0.000266,0.001192,84.5
294,"Sandy Lyle","Masters Tournament",6149,1503,1736,2.47274454155614,3.30262374623491,"None",6,1.2e-05,0.000232,0.000756,88
5513,"Mike Weir","Masters Tournament",6149,1643,1077,2.69081336007035,2.91952379685654,"PGA Tour",29,2e-06,1.8e-05,0.000112,89
