"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
34,"Graeme McDowell","7548",-1.29970216061925,0.636716163298065,2.88176124619135,82.3829899974649,353,-0.704555596065932,0.402162367294472,1,"NIR",77,"PGA Tour","European Tour",-1.49544337465405,0.601012104051272,1.08743050413996e-12,2.89505121602802,2.81054094569806
35,"Jamie Donaldson","7084",-1.29045800882471,0.636661284613287,2.84067810530269,83.0386561183394,349,-0.267433942543787,0.403942779330708,1,"WAL",84,"European Tour","European Tour",-1.50358155764241,0.60114095459176,9.96613046428959e-13,2.79391482079558,2.76841371666531
36,"Jimmy Walker","7293",-1.26745149114929,0.629848934374525,2.86102510914265,87.0945875857822,370,-0.654320185659875,0.376890506713224,1,"USA",100,"PGA Tour","PGA Tour",-1.4526954406115,0.599400017262252,1.58558198599376e-12,2.84475159821639,2.79083410381412
37,"Harris English","14577",-1.22077200285461,0.639238388068682,2.7516568952646,87.4827957543676,237,-0.641558865509766,0.45696351765908,1,"USA",111,"PGA Tour","PGA Tour",-1.40534919060337,0.599357466482735,2.78242782611153e-12,2.5795946302182,2.67637627258884
38,"Chris Kirk","12423",-1.21491865809816,0.630686874923396,2.70969838482083,87.8217862766677,362,-0.610530136545137,0.38966690542834,1,"USA",101,"PGA Tour","PGA Tour",-1.39784936419364,0.599061556801893,2.96802933345643e-12,2.48505703530593,2.63527975791945
39,"Nick Watney","7955",-1.19616865245094,0.627495385514199,2.90193119740395,91.5257541750112,389,-0.848751856020651,0.380245002227067,1,"USA",98,"PGA Tour","PGA Tour",-1.36107994253924,0.598585209157185,4.41066064588684e-12,2.93791090108701,2.83327623355448
40,"Peter Hanson","6850",-1.19281837436041,0.642145307685093,2.81066329428443,70.1636610978266,333,-0.450557672243395,0.351080305290664,1,"SWE",67,"PGA Tour","European Tour",-1.42353548716365,0.604890355428553,3.53962623547045e-12,2.71391280383081,2.73632555768787
41,"Thomas Bjorn","5725",-1.15216217548646,0.639384390785748,2.92236565121731,86.5669435733792,323,-0.192145811982472,0.447747766415367,1,"DEN",93,"European Tour","European Tour",-1.3544194627413,0.600321554503272,5.49218595731376e-12,2.98648333462305,2.85156248401368
42,"K.J. Choi","1804",-1.12502763094875,0.631508764547721,2.70580996800288,84.917084603788,383,-0.529686746847302,0.376722103724715,1,"KOR",99,"PGA Tour","PGA Tour",-1.31145036651459,0.600081335110718,8.8916611440955e-12,2.4700411115937,2.63108423720016
43,"Freddie Jacobson","3846",-1.11167610719161,0.649294662801974,2.77384005725141,64.7683896544074,317,-0.672910755949399,0.356847914900334,1,"SWE",72,"PGA Tour","PGA Tour",-1.34407484954696,0.606674069624871,1.02450941928476e-11,2.60227594553062,2.69677679908245
44,"Francesco Molinari","7655",-1.0867365992844,0.630614440550534,2.81392070813475,97.3569438795811,379,-0.292722032278486,0.433693203948341,1,"ITA",98,"European Tour","European Tour",-1.26026731004949,0.597879544769339,1.35246345189059e-11,2.73331034645652,2.74234847877485
45,"Ernie Els","874",-1.07164852359304,0.624432379188337,2.69822161888536,100.880010851866,411,-0.472507014744871,0.398951954971444,1,"RSA",112,"PGA Tour","PGA Tour",-1.23036595869865,0.596806987377055,1.75637312841788e-11,2.48244655091376,2.62497316337549
46,"Louis Oosthuizen","7672",-1.05072082250695,0.642896717076357,2.82397003734679,70.3773379190358,325,-0.435304649111478,0.358865731729624,1,"RSA",59,"European Tour","European Tour",-1.27215661480403,0.604840064493937,2.01765130754119e-11,2.7495165559475,2.74981646351259
