Rank,OWGR_Rank,Player_Name,Player_ID,Projected_Rating,Rating_StdErr,Projected_Stdev,Prev_Rank,Rank_Change,Previous_Rating,Change,Weight_Sum,Total_Weight,Rounds_Player,Avg_SoS,Center_Wt,Primary_Player,Country,Rounds_Last_Year,Recent_Tour,Common_Tour,estimate,std.error,p.value,Sample_Stdev,Expected_Stdev,Rating_Date
32,32,Martin Laird,9586,-1.198776967,0.405481231,2.753526813,36,-4,-1.149294223,-0.049482743,77.89589566,82.77687807,363,-0.729895197,0.35457129,1,SCO,86,PGA Tour,PGA Tour,-1.39626422,0.305539398,1.48E-21,2.684396653,2.723507827,1/25/2012
33,23,Louis Oosthuizen,7672,-1.18933648,0.412084828,2.814378819,33,0,-1.166247612,-0.023088869,80.19451666,85.29723123,348,-0.111835295,0.399706771,1,RSA,84,European Tour,European Tour,-1.409625032,0.305317011,9.04E-22,2.832869334,2.784046377,1/25/2012
34,29,David Toms,4340,-1.171095922,0.409293027,2.830642791,41,-7,-1.064114906,-0.106981015,80.35970025,85.43148757,344,-0.649176584,0.391187949,1,USA,91,PGA Tour,PGA Tour,-1.365482271,0.304187988,2.60E-21,2.873731264,2.800895897,1/25/2012
35,27,Robert Karlsson,4331,-1.162965341,0.419123045,2.847598465,31,4,-1.178446479,0.015481138,74.85189975,79.81868566,313,-0.506268977,0.391916817,1,SWE,89,European Tour,European Tour,-1.377002309,0.307635815,5.01E-21,2.918884831,2.816585325,1/25/2012
36,21,Bubba Watson,7334,-1.151756108,0.412956606,2.784786829,35,1,-1.149868604,-0.001887504,78.1497758,83.17536598,340,-0.707586324,0.390427269,1,USA,92,PGA Tour,PGA Tour,-1.34745206,0.30568994,7.10E-21,2.759880984,2.753997917,1/25/2012
37,13,Graeme McDowell,7548,-1.14610413,0.403925819,2.936493533,37,0,-1.14860237,0.00249824,79.47867823,84.39683614,375,-0.378120555,0.356864995,1,NIR,78,European Tour,European Tour,-1.351747274,0.305518589,5.91E-21,3.138034239,2.908580101,1/25/2012
38,59,Ryan Moore,7489,-1.134380774,0.425419462,2.876616497,38,0,-1.140565238,0.006184464,65.64045572,70.24407756,320,-0.769555312,0.336262701,1,USA,78,PGA Tour,PGA Tour,-1.360367192,0.312591355,3.36E-20,3.011396244,2.844985193,1/25/2012
39,26,Bill Haas,7900,-1.12986224,0.395751357,2.664744006,34,5,-1.163413477,0.033551237,90.09608251,95.35492172,387,-0.744228683,0.390436335,1,USA,103,PGA Tour,PGA Tour,-1.297953099,0.300245663,6.77E-21,2.488651324,2.635192874,1/25/2012
40,61,Robert Allenby,4949,-1.128757833,0.3964563,2.637435958,39,1,-1.128915337,0.000157505,84.90801273,89.94251657,399,-0.490423452,0.361450889,1,AUS,97,PGA Tour,PGA Tour,-1.316600317,0.302423671,7.15E-21,2.414422335,2.607468281,1/25/2012
41,43,Geoff Ogilvy,5698,-1.091198685,0.417557073,2.808269055,40,1,-1.090356326,-0.000842359,72.21197742,77.02301228,335,-0.45680063,0.363107314,1,AUS,81,PGA Tour Australasia,PGA Tour,-1.309130843,0.308778157,5.47E-20,2.820134789,2.777052606,1/25/2012
42,56,Ben Crane,6674,-1.079351948,0.411743872,2.699747429,48,-6,-0.979162414,-0.100189534,77.49282985,82.46843148,345,-0.641293916,0.380835655,1,USA,85,PGA Tour,PGA Tour,-1.274744775,0.305671538,6.54E-20,2.546720578,2.668164756,1/25/2012
43,24,K.T. Kim,7880,-1.034639126,0.389814452,2.771102714,43,0,-1.031254611,-0.003384515,97.06115822,102.4668944,382,0.466796617,0.392687717,0,KOR,104,Japan Golf Tour,Japan Golf Tour,-1.234679709,0.300015424,4.57E-20,2.735903269,2.743547875,1/25/2012
44,90,Spencer Levin,8199,-1.023646986,0.383715966,2.629864811,42,2,-1.051935479,0.028288493,98.52167192,103.8898608,420,-0.460961329,0.379244252,1,USA,116,PGA Tour,PGA Tour,-1.183125044,0.296960196,9.51E-20,2.428640976,2.601720774,1/25/2012
45,57,Ernie Els,874,-1.015779178,0.395035132,2.764895766,55,-10,-0.920449557,-0.095329621,89.51327237,94.72494493,385,-0.502892492,0.382439947,1,RSA,93,European Tour,PGA Tour,-1.188126091,0.30084063,2.39E-19,2.719224495,2.73652989,1/25/2012
46,49,Y.E. Yang,6629,-1.015117752,0.405555468,2.799567643,44,2,-1.015405049,0.000287298,76.3650744,81.17098133,372,-0.457844992,0.342016804,1,KOR,82,Asian Tour,PGA Tour,-1.216321884,0.306590814,4.79E-19,2.800210643,2.770036778,1/25/2012
47,142,Stewart Cink,5665,-1.012810316,0.427676198,2.753628678,45,2,-1.0117937,-0.001016616,63.9567687,68.50511535,317,-0.70417183,0.327829773,1,USA,74,PGA Tour,PGA Tour,-1.23890136,0.31389915,1.62E-18,2.66665598,2.720213956,1/25/2012
48,37,Jason Dufner,7301,-1.001003619,0.416177616,2.866842509,56,-8,-0.897539828,-0.103463791,70.39407932,75.09561003,339,-0.642799834,0.341372661,1,USA,79,PGA Tour,PGA Tour,-1.209093646,0.309449434,1.24E-18,2.977741922,2.836473543,1/25/2012
49,48,Aaron Baddeley,6252,-0.997660789,0.409074123,2.808687745,46,3,-0.996683996,-0.000976793,77.52925341,82.45772358,335,-0.570370034,0.368498368,1,AUS,89,PGA Tour,PGA Tour,-1.190638848,0.305730801,8.14E-19,2.821365545,2.778738061,1/25/2012
50,112,Tim Clark,3849,-0.991335819,0.560966886,2.734968689,47,3,-0.995883208,0.004547389,30.21723864,33.94450148,290,-0.601030826,0.150419332,1,RSA,2,NA,PGA Tour,-1.466439309,0.36178781,1.61E-16,2.398317517,2.676820854,1/25/2012
51,85,Carl Pettersson,7048,-0.981340317,0.394164332,2.685008307,49,2,-0.976334057,-0.005006259,87.00030429,92.08788484,399,-0.5614244,0.36495977,1,SWE,101,PGA Tour,PGA Tour,-1.153506297,0.301240788,7.52E-19,2.531558774,2.65591869,1/25/2012
52,122,J.B. Holmes,7959,-0.966149501,0.452772525,2.793155207,50,2,-0.96873173,0.002582229,50.08046548,54.19556638,312,-0.599453932,0.245645043,1,USA,52,PGA Tour,PGA Tour,-1.253849905,0.326294406,2.00E-17,2.770481703,2.756213535,1/25/2012
53,38,Anders Hansen,5724,-0.959471226,0.421788875,2.714192723,51,2,-0.964350115,0.004878889,67.65289843,72.29035547,326,-0.158944745,0.336262619,1,DEN,70,European Tour,European Tour,-1.195245667,0.312645003,4.07E-18,2.564301873,2.681219178,1/25/2012
54,54,Gary Woodland,12577,-0.934442839,0.42622545,2.799546757,53,1,-0.932992001,-0.001450838,76.50909387,81.68849445,236,-0.554116943,0.439006788,1,USA,99,PGA Tour,PGA Tour,-1.127897432,0.306223311,5.67E-18,2.792328581,2.766910536,1/25/2012
55,69,Kevin Na,7452,-0.927528997,0.405508251,2.762336438,57,-2,-0.894505756,-0.03302324,77.41693632,82.27817976,367,-0.596313506,0.35166554,1,USA,85,PGA Tour,PGA Tour,-1.114885796,0.305561387,6.99E-18,2.706281272,2.732410228,1/25/2012
56,119,Brendon de Jonge,8767,-0.91798173,0.384848806,2.790336703,62,-6,-0.835938686,-0.082043044,93.24513467,98.41200594,429,-0.473874887,0.357524557,1,ZIM,108,PGA Tour,PGA Tour,-1.078906537,0.298664821,3.51E-18,2.780528696,2.763669719,1/25/2012
