"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Cody Gribble",17508,"USA","205","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Spencer Levin",8199,"USA","211","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Robert Garrigus",6789,"USA","214","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Steven Bowditch",7053,"AUS","215","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Greg Owen",5723,"ENG","218","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Tyrone van Aswegen",9913,"RSA","219","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Hiroshi Iwata",9099,"JPN","221","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Boo Weekley",7403,"USA","223","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Lucas Glover",7399,"USA","227","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ryan Brehm",10423,"USA","228","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Martin Flores",10535,"USA","229","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Richy Werenski",19364,"USA","232","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Michael Thompson",12946,"USA","233","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Luke List",7960,"USA","235","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"John Huh",14606,"USA","238","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Zac Blair",17639,"USA","240","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Nicholas Lindheim",16713,"USA","254","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Morgan Hoffmann",14082,"USA","259","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Brett Stegmaier",11354,"USA","261","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Blayne Barber",15608,"USA","262","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Greg Chalmers",5625,"AUS","266","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Michael Kim",17543,"USA","269","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Mackenzie Hughes",15556,"CAN","273","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ken Duke",493,"USA","276","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Peter Malnati",14926,"USA","277","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Andres Gonzales",11640,"USA","280","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Stewart Cink",5665,"USA","282","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Geoff Ogilvy",5698,"AUS","286","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Dominic Bozzelli",17564,"USA","287","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Davis Love III",3464,"USA","288","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Bud Cauley",14502,"USA","292","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Steve Marino",7741,"USA","295","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Xander Schauffele",19895,"USA","297","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Kyle Stanley",12069,"USA","300","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Seungyul Noh",11117,"KOR","301","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Trey Mullinax",18761,"USA","303","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Seamus Power",10104,"IRL","311","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Shawn Stefani",14012,"USA","314","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ernie Els",874,"RSA","322","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"JT Poston",21554,"USA","324","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Hunter Mahan",7636,"USA","327","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Scott Stallings",12359,"USA","330","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Pat Perez",6762,"USA","344","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Nick Watney",7955,"USA","347","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ryan Blaum",9643,"USA","367","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Kevin Tway",13127,"USA","379","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ben Crane",6674,"USA","384","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Matt Every",10185,"USA","403","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Nick Taylor",13126,"CAN","410","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Julian Etulain",11911,"ARG","415","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Stuart Appleby",5294,"AUS","417","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Miguel Angel Carballo",8570,"ARG","419","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Kelly Kraft",15852,"USA","420","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Will Mackenzie",7470,"USA","425","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"J.J. Henry",6222,"USA","436","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Mark Hubbard",16333,"USA","450","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Rod Pampling",5668,"AUS","451","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Zack Sucher",14036,"USA","457","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Bobby Wyatt",18660,"USA","499","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
