"Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Booz Allen Classic",3548,2006-06-25,"PGA Tour",NA,NA,2016-01-28
"Johnnie Walker Championship",3549,2006-06-25,"European Tour",NA,NA,2016-01-28
"Mizuno Open",3550,2006-06-25,"Japan Golf Tour",NA,NA,2016-01-28
"Chattanooga Clasic",3551,2006-06-25,"Web.com Tour",NA,NA,2016-01-28
"Credit Suisse Challenge",3552,2006-06-25,"European Challenge Tour",NA,NA,2016-01-28
"Times Colonist Open",3553,2006-06-25,"PGA Tour Canada",NA,NA,2016-01-28
"Buick Championship",3554,2006-07-02,"PGA Tour",NA,NA,2016-01-28
"Open de France ALSTOM",3555,2006-07-02,"European Tour",NA,NA,2016-01-28
"UBS Japan Golf Tour Championship",3556,2006-07-02,"Japan Golf Tour",NA,NA,2016-01-28
"Peek'n Peak Classic",3557,2006-07-02,"Web.com Tour",NA,NA,2016-01-28
"Open Mahou de Madrid",3558,2006-07-02,"European Challenge Tour",NA,NA,2016-01-28
"Telus Edmonton Open",3559,2006-07-02,"PGA Tour Canada",NA,NA,2016-01-28
"Cialis Western Open",3560,2006-07-09,"PGA Tour",NA,NA,2016-01-28
"Smurfit Kappa European Open",3561,2006-07-09,"European Tour",NA,NA,2016-01-28
"Woodone Open Hiroshima",3562,2006-07-09,"Japan Golf Tour",NA,NA,2016-01-28
"Scottish Challenge",3563,2006-07-09,"European Challenge Tour",NA,NA,2016-01-28
"Barclays Scottish Open",3564,2006-07-16,"European Tour",NA,NA,2016-01-28
"John Deere Classic",3565,2006-07-16,"PGA Tour",NA,NA,2016-01-28
"Scholarship America Showdown",3566,2006-07-16,"Web.com Tour",NA,NA,2016-01-28
"Texbond Open",3567,2006-07-16,"European Challenge Tour",NA,NA,2016-01-28
"MTS Classic",3568,2006-07-16,"PGA Tour Canada",NA,NA,2016-01-28
"THE OPEN CHAMPIONSHIP",3569,2006-07-23,"Major Championship",NA,NA,2016-01-28
"B.C. Open",3570,2006-07-23,"PGA Tour",NA,NA,2016-01-28
"Sega Sammy Cup",3571,2006-07-23,"Japan Golf Tour",NA,NA,2016-01-28
"Price Cutter Charity Champs",3572,2006-07-23,"Web.com Tour",NA,NA,2016-01-28
"Man No Open",3573,2006-07-23,"European Challenge Tour",NA,NA,2016-01-28
"Deutsche Bank Players Champ",3574,2006-07-30,"European Tour",NA,NA,2016-01-28
"US Bank Championship",3575,2006-07-30,"PGA Tour",NA,NA,2016-01-28
"Tournament in Omaezaki",3576,2006-07-30,"Japan Golf Tour",NA,NA,2016-01-28
"Preferred Health Systems Wichita O",3577,2006-07-30,"Web.com Tour",NA,NA,2016-01-28
"Ryder Cup Wales Challenge",3578,2006-07-30,"European Challenge Tour",NA,NA,2016-01-28
"Buick Open",3579,2006-08-06,"PGA Tour",NA,NA,2016-01-28
"EnterCard Scandinavian Masters",3580,2006-08-06,"European Tour",NA,NA,2016-01-28
"Cox Classic",3581,2006-08-06,"Web.com Tour",NA,NA,2016-01-28
"Ireland Ryder Cup Challenge",3582,2006-08-06,"European Challenge Tour",NA,NA,2016-01-28
"Sun Chlorella Classic",3583,2006-08-06,"Japan Golf Tour",NA,NA,2016-01-28
"Casino de Montreal Open",3584,2006-08-06,"PGA Tour Canada",NA,NA,2016-01-28
"The International",3585,2006-08-13,"PGA Tour",NA,NA,2016-01-28
"KLM Open",3586,2006-08-13,"European Tour",NA,NA,2016-01-28
"Xerox Classic",3587,2006-08-13,"Web.com Tour",NA,NA,2016-01-28
"Vodafone Challenge",3588,2006-08-13,"European Challenge Tour",NA,NA,2016-01-28
"88th PGA CHAMPIONSHIP",3589,2006-08-20,"Major Championship",NA,NA,2016-01-28
"Imperial Collection Russian Open",3590,2006-08-20,"European Tour",NA,NA,2016-01-28
"Northeast Pennsylvania Classic",3591,2006-08-20,"Web.com Tour",NA,NA,2016-01-28
"Rolex Trophy",3592,2006-08-20,"European Challenge Tour",NA,NA,2016-01-28
"Crowne Plaza Open",3593,2006-08-20,"Asian Tour",NA,NA,2016-01-28
"WGC - Bridgestone Invitational",3594,2006-08-27,"WGC",NA,NA,2016-01-28
"Reno-Tahoe Open",3595,2006-08-27,"PGA Tour",NA,NA,2016-01-28
"NMA Pete Dye Classic",3596,2006-08-27,"Web.com Tour",NA,NA,2016-01-28
"Under Armour KBC Augusta",3597,2006-08-27,"Japan Golf Tour",NA,NA,2016-01-28
"Brunei Open",3598,2006-08-27,"Asian Tour",NA,NA,2016-01-28
"ECCO Tour Championship",3599,2006-08-27,"European Challenge Tour",NA,NA,2016-01-28
"Fallsview Casino Resort Pro Am",3600,2006-08-27,"PGA Tour Canada",NA,NA,2016-01-28
"BMW International Open",3602,2006-09-03,"European Tour",NA,NA,2016-01-28
"Legend Financial Group Classic",3603,2006-09-03,"Web.com Tour",NA,NA,2016-01-28
"Fujisankei Classic",3604,2006-09-03,"Japan Golf Tour",NA,NA,2016-01-28
"Pulai Springs Malaysian Classic",3605,2006-09-03,"Asian Tour",NA,NA,2016-01-28
"Telia Waxholm Challenge",3606,2006-09-03,"European Challenge Tour",NA,NA,2016-01-28
"Canadian Tour Championship",3607,2006-09-03,"PGA Tour Canada",NA,NA,2016-01-28
"Deutsche Bank Championship",3608,2006-09-03,"PGA Tour",NA,NA,2016-01-28
"Omega European Masters",3614,2006-09-10,"European Tour",NA,NA,2016-01-28
"Canadian Open",3615,2006-09-10,"PGA Tour",NA,NA,2016-01-28
"Suntory Open",3616,2006-09-10,"Japan Golf Tour",NA,NA,2016-01-28
"Barclays Singapore Open",3617,2006-09-10,"Asian Tour",NA,NA,2016-01-28
"Utah Energy Solutions Championship",3618,2006-09-10,"Web.com Tour",NA,NA,2016-01-28
"HSBC World Match Play Champ",3619,2006-09-17,"European Tour",NA,NA,2016-01-28
"84 Lumber Classic",3620,2006-09-17,"PGA Tour",NA,NA,2016-01-28
"Open de Madrid",3621,2006-09-17,"European Tour",NA,NA,2016-01-28
"ANA Open",3622,2006-09-17,"Japan Golf Tour",NA,NA,2016-01-28
"Albertsons Boise Open",3623,2006-09-17,"Web.com Tour",NA,NA,2016-01-28
"Open de Volcans",3624,2006-09-17,"European Challenge Tour",NA,NA,2016-01-28
"Valero Texas Open",3625,2006-09-24,"PGA Tour",NA,NA,2016-01-28
"Acom International",3626,2006-09-24,"Japan Golf Tour",NA,NA,2016-01-28
"KOLON-Hana Korea Open",3627,2006-09-24,"Asian Tour",NA,NA,2016-01-28
"Oregon Classic",3628,2006-09-24,"Web.com Tour",NA,NA,2016-01-28
"Oki Mahou Challenge de Espana",3629,2006-09-24,"European Challenge Tour",NA,NA,2016-01-28
