"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3618,"No Tournament Scores Available",2016-01-28,"Utah Energy Solutions Championship",2006-09-10
3619,"No Tournament Scores Available",2016-01-28,"HSBC World Match Play Champ",2006-09-17
3620,"No Tournament Scores Available",2016-01-28,"84 Lumber Classic",2006-09-17
3621,"No Tournament Scores Available",2016-01-28,"Open de Madrid",2006-09-17
3622,"No Tournament Scores Available",2016-01-28,"ANA Open",2006-09-17
3623,"No Tournament Scores Available",2016-01-28,"Albertsons Boise Open",2006-09-17
3624,"No Tournament Scores Available",2016-01-28,"Open de Volcans",2006-09-17
3625,"No Tournament Scores Available",2016-01-28,"Valero Texas Open",2006-09-24
3626,"No Tournament Scores Available",2016-01-28,"Acom International",2006-09-24
3627,"No Tournament Scores Available",2016-01-28,"KOLON-Hana Korea Open",2006-09-24
3628,"No Tournament Scores Available",2016-01-28,"Oregon Classic",2006-09-24
3629,"No Tournament Scores Available",2016-01-28,"Oki Mahou Challenge de Espana",2006-09-24
3630,"Tournament Results Collected",2016-01-28,"WGC-American Express Championship",2006-10-01
3631,"No Tournament Scores Available",2016-01-28,"Kazakhstan Open",2006-10-01
3632,"Tournament Results Collected",2016-01-28,"Southern Farm Bureau Classic",2006-10-01
3633,"No Tournament Scores Available",2016-01-28,"Coca Cola Tokai Classic",2006-10-01
3634,"No Tournament Scores Available",2016-01-28,"Mercuries Taiwan Masters",2006-10-01
3635,"Tournament Results Collected",2016-01-28,"Alfred Dunhill Links Championship",2006-10-08
3636,"Tournament Results Collected",2016-01-28,"Chrysler Classic of Greensboro",2006-10-08
3637,"Tournament Results Collected",2016-01-28,"Mark Christopher Charity Classic",2006-10-08
3638,"Tournament Results Collected",2016-01-28,"Golf Open International de Toulouse",2006-10-08
3639,"No Tournament Scores Available",2016-01-28,"Taiwan Open",2006-10-08
3640,"Tournament Results Collected",2016-01-28,"Frys.com Open",2006-10-15
3641,"Tournament Results Collected",2016-01-28,"Permian Basin Charity Golf Classic",2006-10-15
3642,"No Tournament Scores Available",2016-01-28,"Japan Open Golf Championship",2006-10-15
3643,"No Tournament Scores Available",2016-01-28,"Volkswagen Masters - China",2006-10-15
3644,"Tournament Results Collected",2016-01-28,"Funai Classic",2006-10-22
3645,"No Tournament Scores Available",2016-01-28,"Mallorca Classic",2006-10-22
3646,"No Tournament Scores Available",2016-01-28,"Bridgestone Open",2006-10-22
3647,"No Tournament Scores Available",2016-01-28,"Hero Honda Indian Open",2006-10-22
3648,"Tournament Results Collected",2016-01-28,"PalmettoPride Classic",2006-10-22
3649,"No Tournament Scores Available",2016-01-28,"Apulia San Domenico Grand Final",2006-10-22
3650,"Tournament Results Collected",2016-01-28,"Chrysler Championship",2006-10-29
3651,"No Tournament Scores Available",2016-01-28,"Volvo Masters",2006-10-29
3652,"No Tournament Scores Available",2016-01-28,"ABC Championship",2006-10-29
3653,"Tournament Results Collected",2016-01-28,"Miccosukee Championship",2006-10-29
3654,"Tournament Results Collected",2016-01-28,"THE TOUR Championship presented by Coca-Cola",2006-11-05
3655,"Tournament Results Collected",2016-01-28,"Asahiryokuken Yomiuri Memorial",2006-11-05
3656,"Tournament Results Collected",2016-01-28,"HSBC Champions",2006-11-12
3657,"Tournament Results Collected",2016-01-28,"Mitsui Sumitomo VISA Taiheiyo Masters",2006-11-12
3658,"Tournament Results Collected",2016-01-28,"Nationwide Tour Championship",2006-11-12
3659,"Tournament Results Collected",2016-01-28,"Dunlop Phoenix Tournament",2006-11-19
