"Player_ID","Player_Name","Event_Name","Event_ID","Rank","OWGR_Rank","Projected_Rating","Projected_Stdev","Weight_Sum","Recent_Tour","Rounds_Last_Year","Round_1","Round_1_Completion","Projected_Rating_Start","Win","Top_5","Top_10","Win_Rank"
11328,"Kevin Kisner","Masters Tournament",6149,34,22,-1.03499456041244,2.22923144958175,83.2922184442431,"PGA Tour",96,2.338041446,1,-1.10578808503557,1e-04,0.0012,0.0055,57.5
14459,"Byeong Hun An","Masters Tournament",6149,46,26,-0.928478998783981,2.24306650426105,88.8645704783023,"European Tour",96,2.338041446,1,-0.993249421724247,1e-04,9e-04,0.0049,57.5
12846,"Jim Herman","Masters Tournament",6149,90,68,-0.585147456407683,2.17873637830011,85.5659521049262,"PGA Tour",92,0.338041446,1,-0.604071863590526,1e-04,0.001,0.0077,57.5
15856,"Cameron Smith","Masters Tournament",6149,142,102,-0.340666735044008,2.22463916095483,72.2281430582881,"PGA Tour",83,-0.661958554,1,-0.3330376503393,1e-04,0.0019,0.0105,57.5
13367,"Troy Merritt","Masters Tournament",6149,172,85,-0.194281172789769,2.35911500733373,74.8603202083774,"PGA Tour",82,-0.661958554,1,-0.183512679648407,1e-04,0.0024,0.0106,57.5
5717,"Angel Cabrera","Masters Tournament",6149,271,328,0.0782959160688588,2.27932869979867,63.1628917599501,"PGA Tour",64,-1.661958554,1,0.124602129928399,1e-04,0.0019,0.0114,57.5
16652,"Romain Langasque(Am)","Masters Tournament",6149,434,618,0.546127603020217,2.38672312141978,12.1623532231972,"European Challenge Tour",18,-0.661958554,1,0.646124995315632,1e-04,5e-04,0.0018,57.5
290,"Bernhard Langer","Masters Tournament",6149,442,1080,0.342761886260293,2.51603712886813,6.47866480434816,"None",12,-2.661958554,1,0.66797157776931,1e-04,0.0067,0.0202,57.5
12965,"Rickie Fowler","Masters Tournament",6149,7,5,-1.88454669262773,2.17060016976487,84.1144079376004,"PGA Tour",90,5.338041446,1,-2.03483816907977,0,6e-04,0.0028,76
7900,"Bill Haas","Masters Tournament",6149,24,29,-1.31972830344824,2.04362149343955,81.8331296362172,"PGA Tour",90,0.338041446,1,-1.35506272650064,0,0.0053,0.0257,76
7489,"Ryan Moore","Masters Tournament",6149,32,40,-0.960417545950974,2.28474995331151,70.4139403082206,"PGA Tour",73,5.338041446,1,-1.11326690537719,0,0,2e-04,76
13831,"Russell Knox","Masters Tournament",6149,35,35,-0.999499294461445,2.11802055389503,91.121297204378,"PGA Tour",101,4.338041446,1,-1.10301895306083,0,0,5e-04,76
7301,"Jason Dufner","Masters Tournament",6149,39,61,-0.98279594114684,2.19045658649541,80.5592648587451,"PGA Tour",92,1.338041446,1,-1.03294407900616,0,0.0023,0.0091,76
14852,"Robert Streb","Masters Tournament",6149,44,53,-0.85791180618776,2.1671367263198,89.5476265356735,"PGA Tour",105,6.338041446,1,-0.999637486987593,0,0,1e-04,76
11049,"Webb Simpson","Masters Tournament",6149,48,83,-0.886725456284475,2.16181046970773,72.1232749592093,"PGA Tour",80,2.338041446,1,-0.963393106321831,0,7e-04,0.0033,76
12669,"Anirban Lahiri","Masters Tournament",6149,60,51,-0.836333744360148,2.2658459667452,88.6320647293566,"PGA Tour",98,1.338041446,1,-0.879548105432993,0,0.0016,0.0069,76
15326,"Andy Sullivan","Masters Tournament",6149,63,30,-0.732328543257895,2.24522389119048,90.0633593040495,"European Tour",95,5.338041446,1,-0.851281515816325,0,0,3e-04,76
12423,"Chris Kirk","Masters Tournament",6149,82,52,-0.628065670716307,2.26943445620033,77.1786713859574,"PGA Tour",71,1.338041446,1,-0.67215933316183,0,8e-04,0.0049,76
14815,"David Lingmerth","Masters Tournament",6149,94,42,-0.488755194338808,2.39172593493323,89.2472213851727,"PGA Tour",95,4.338041446,1,-0.584101942117225,0,2e-04,7e-04,76
653,"Vijay Singh","Masters Tournament",6149,119,215,-0.329404587386151,2.16114980397034,74.3571852263218,"PGA Tour",85,5.338041446,1,-0.460660510527534,0,0,0,76
8571,"Fabian Gomez","Masters Tournament",6149,141,60,-0.282507448735042,2.24734824303918,81.878648408858,"PGA Tour",84,2.338041446,1,-0.338335881273229,0,1e-04,0.001,76
874,"Ernie Els","Masters Tournament",6149,163,218,-0.121954786093304,2.17083727704951,90.8477153573253,"PGA Tour",88,5.338041446,1,-0.22813111121873,0,0,0,76
7053,"Steven Bowditch","Masters Tournament",6149,393,87,0.630320777673088,2.63831107779469,95.4474044370112,"PGA Tour",108,4.338041446,1,0.561306161866329,0,0,1e-04,76
5935,"Trevor Immelman","Masters Tournament",6149,599,1669,1.04155282036857,2.20213874037141,50.2115043633736,"PGA Tour",45,2.338041446,1,0.999872792248414,0,0,0,76
3523,"Darren Clarke","Masters Tournament",6149,778,612,1.3210144418776,2.27438446958537,60.160987176071,"European Tour",63,1.338041446,1,1.32054252471602,0,0,0,76
17351,"Jin Cheng(am)","Masters Tournament",6149,810,624,1.50071996928593,2.29560715771483,37.2265353749221,"PGA Tour China",46,4.338041446,1,1.38544387052723,0,0,0,76
226,"Tom Watson","Masters Tournament",6149,1027,1577,1.52098628580518,2.47089179866653,8.52471469405523,"None",12,-0.661958554,1,1.73370006744303,0,0,2e-04,76
294,"Sandy Lyle","Masters Tournament",6149,1503,1736,2.35119151725151,2.70262374623491,4.67009236582039,"None",6,1.338041446,1,2.47274454155614,0,0,1e-04,76
5513,"Mike Weir","Masters Tournament",6149,1643,1077,2.63358133240828,2.31952379685654,33.2732478415048,"PGA Tour",29,1.338041446,1,2.69081336007035,0,0,0,76
NA,"Derek Bard(Am)","Masters Tournament",6149,NA,NA,NA,2.4,NA,NA,NA,1.338041446,1,3,0,0,0,76
NA,"Ian Woosnam","Masters Tournament",6149,NA,NA,NA,2.4,NA,NA,NA,7.338041446,1,3,0,0,0,76
NA,"Larry Mize","Masters Tournament",6149,NA,NA,NA,2.4,NA,NA,NA,1.338041446,1,3,0,0,0,76
NA,"Mark O'Meara","Masters Tournament",6149,NA,NA,NA,2.4,NA,NA,NA,2.338041446,1,2,0,0,0,76
NA,"Paul Chaplet(Am)","Masters Tournament",6149,NA,NA,NA,2.4,NA,NA,NA,8.338041446,1,3,0,0,0,76
NA,"Sammy Schmitz(Am)","Masters Tournament",6149,NA,NA,NA,2.4,NA,NA,NA,6.338041446,1,3,0,0,0,76
