Event_ID,Event_Name,Event_Tour_1,Rank,OWGR_Rank,Player_Name,Player_ID,Projected_Rating,Projected_Stdev,Win_Rank,Win,Top_5,Top_10,Country,Rounds_Last_Year,Recent_Tour
6629,U.S. Open,Major Championship,66,54,Lee Westwood,4052,-0.818843169,2.454617409,52,0.00453,0.02938,0.06641,ENG,83,European Tour
6629,U.S. Open,Major Championship,48,70,Zach Johnson,6986,-1.011326574,2.264414007,53,0.00447,0.03177,0.07484,USA,85,PGA Tour
6629,U.S. Open,Major Championship,58,50,Brian Harman,8825,-0.887481869,2.376271209,54,0.00443,0.0301,0.06848,USA,94,PGA Tour
6629,U.S. Open,Major Championship,52,100,Lucas Glover,7399,-0.953797742,2.342463056,55,0.00429,0.03134,0.07215,USA,72,PGA Tour
6629,U.S. Open,Major Championship,85,67,Jhonattan Vegas,13508,-0.631723953,2.540780284,56,0.00427,0.02458,0.05524,VEN,96,PGA Tour
6629,U.S. Open,Major Championship,61,36,Matthew Fitzpatrick,17646,-0.866931735,2.396169567,57,0.00422,0.02955,0.06763,ENG,83,European Tour
6629,U.S. Open,Major Championship,47,158,Stewart Cink,5665,-1.022230236,2.240049289,58,0.0042,0.03056,0.07279,USA,83,PGA Tour
6629,U.S. Open,Major Championship,64,122,Keegan Bradley,13872,-0.834406469,2.396991121,59,0.00415,0.02837,0.06443,USA,92,PGA Tour
6629,U.S. Open,Major Championship,65,89,Graeme McDowell,7548,-0.826757092,2.341623751,60,0.00368,0.02407,0.05795,NIR,94,PGA Tour
6629,U.S. Open,Major Championship,76,41,Wesley Bryan,21236,-0.708706009,2.427817565,60,0.00368,0.0234,0.05455,USA,85,PGA Tour
6629,U.S. Open,Major Championship,57,68,Kevin Na,7452,-0.891028405,2.284137611,62,0.00363,0.02503,0.06043,USA,84,PGA Tour
6629,U.S. Open,Major Championship,71,51,William McGirt,12477,-0.770837402,2.383264347,63,0.00358,0.02354,0.05668,USA,88,PGA Tour
6629,U.S. Open,Major Championship,62,60,Chris Wood,12451,-0.855905931,2.291688868,64,0.0034,0.02369,0.05793,ENG,70,European Tour
6629,U.S. Open,Major Championship,78,96,Jamie Lovemark,11382,-0.699527679,2.403236672,65,0.00339,0.0219,0.0524,USA,91,PGA Tour
6629,U.S. Open,Major Championship,70,98,Bud Cauley,14502,-0.772481129,2.355099342,66,0.00333,0.02355,0.05441,USA,80,PGA Tour
6629,U.S. Open,Major Championship,74,140,Chez Reavie,7961,-0.750569109,2.366059155,67,0.00332,0.02319,0.05502,USA,79,PGA Tour
6629,U.S. Open,Major Championship,67,81,Jim Furyk,2881,-0.808507275,2.315813636,68,0.00319,0.02297,0.05518,USA,73,PGA Tour
6629,U.S. Open,Major Championship,69,101,Ryan Palmer,7820,-0.779345985,2.347300525,69,0.00316,0.02337,0.05601,USA,67,PGA Tour
6629,U.S. Open,Major Championship,91,99,Jason Kokrak,12337,-0.568197592,2.482358449,70,0.0031,0.01963,0.04559,USA,93,PGA Tour
6629,U.S. Open,Major Championship,77,33,Tommy Fleetwood,12294,-0.708125961,2.4068009,71,0.00306,0.02178,0.05237,ENG,91,European Tour
6629,U.S. Open,Major Championship,95,62,Scott Piercy,7899,-0.534463359,2.560446055,72,0.00304,0.02155,0.04771,USA,90,PGA Tour
6629,U.S. Open,Major Championship,86,110,David Lingmerth,14815,-0.612199588,2.487655801,73,0.00285,0.02103,0.04976,SWE,85,PGA Tour
6629,U.S. Open,Major Championship,73,114,Martin Laird,9586,-0.76751445,2.322891325,74,0.00264,0.02135,0.05213,SCO,82,PGA Tour
6629,U.S. Open,Major Championship,81,48,Hideto Tanihara,7046,-0.673562186,2.357345523,75,0.00244,0.0186,0.04684,JPN,99,Japan Golf Tour
6629,U.S. Open,Major Championship,84,71,Sean O'Hair,7626,-0.653759531,2.366771425,76,0.00233,0.01843,0.04488,USA,86,PGA Tour
6629,U.S. Open,Major Championship,104,75,Alexander Levy,14973,-0.456915298,2.447426814,77,0.00218,0.01492,0.03687,FRA,80,European Tour
6629,U.S. Open,Major Championship,94,106,Harris English,14577,-0.54599938,2.401137503,78,0.00205,0.01623,0.03966,USA,86,PGA Tour
6629,U.S. Open,Major Championship,109,153,Peter Uihlein,11357,-0.436074729,2.455974509,79,0.00188,0.01435,0.03547,USA,61,PGA Tour
6629,U.S. Open,Major Championship,115,31,Danny Willett,12920,-0.384558119,2.49223085,80,0.00177,0.01384,0.03428,ENG,75,European Tour
6629,U.S. Open,Major Championship,89,264,Ted Potter-jr,8769,-0.597736842,2.318784182,81,0.00174,0.01504,0.03818,USA,77,Web.com Tour
6629,U.S. Open,Major Championship,124,127,George Coetzee,10884,-0.324509824,2.461584982,82,0.00165,0.01202,0.0299,RSA,101,European Tour
6629,U.S. Open,Major Championship,129,32,Siwoo Kim,14609,-0.280783302,2.529522904,83,0.00158,0.01245,0.03033,KOR,81,PGA Tour
6629,U.S. Open,Major Championship,108,181,JT Poston,21554,-0.436984699,2.372279398,84,0.00156,0.01242,0.03077,USA,109,PGA Tour
6629,U.S. Open,Major Championship,106,90,Daniel Summerhays,12424,-0.447752968,2.355431226,85,0.00131,0.01234,0.03156,USA,96,PGA Tour
6629,U.S. Open,Major Championship,128,172,Meenwhee Kim,11702,-0.283080777,2.35964645,86,0.00116,0.00881,0.0232,KOR,80,PGA Tour
6629,U.S. Open,Major Championship,179,61,Jeunghun Wang,15366,-0.079402335,2.54928992,87,0.00114,0.0088,0.02233,KOR,82,European Tour
6629,U.S. Open,Major Championship,122,59,Yuta Ikeda,8236,-0.333700584,2.344908587,88,0.00106,0.00893,0.02446,JPN,111,PGA Tour
6629,U.S. Open,Major Championship,123,120,Bradley Dredge,6150,-0.331786145,2.348988253,89,0.00095,0.00935,0.02451,WAL,75,European Tour
6629,U.S. Open,Major Championship,140,116,Andrew Johnston,14666,-0.218221631,2.379110789,90,8.00E-04,0.00735,0.02007,ENG,86,PGA Tour
6629,U.S. Open,Major Championship,127,109,Roberto Castro,12643,-0.287293244,2.278955109,91,0.00063,0.00667,0.01968,USA,84,PGA Tour
6629,U.S. Open,Major Championship,136,163,Gregory Bourdy,7932,-0.238946432,2.308459463,91,0.00063,0.00667,0.0186,FRA,88,European Tour
6629,U.S. Open,Major Championship,185,171,Paul Dunne,18736,-0.059271531,2.375139436,91,0.00063,0.00502,0.01497,IRL,80,European Tour
6629,U.S. Open,Major Championship,197,128,Li Haotong,15310,-0.024834035,2.397188781,94,0.00059,0.00527,0.01453,CHN,77,European Tour
6629,U.S. Open,Major Championship,152,159,C.T. Pan,15475,-0.164562443,2.280450463,95,0.00057,0.00529,0.01533,TPE,102,PGA Tour
6629,U.S. Open,Major Championship,153,150,Brian Stuard,13022,-0.163029761,2.282886985,96,0.00051,0.00521,0.01476,USA,107,PGA Tour
6629,U.S. Open,Major Championship,252,355,Jonathan Randolph,14837,0.190530637,2.47980845,96,0.00051,0.00399,0.01123,USA,77,PGA Tour
6629,U.S. Open,Major Championship,161,183,Thomas Aiken,7679,-0.121258552,2.283113216,98,0.00047,0.00487,0.01424,RSA,89,Web.com Tour
6629,U.S. Open,Major Championship,223,373,Trey Mullinax,18761,0.09550875,2.446522597,99,4.00E-04,0.00434,0.0129,USA,92,PGA Tour
6629,U.S. Open,Major Championship,216,117,Satoshi Kodaira,13531,0.079316839,2.415892577,100,0.00038,0.00403,0.01202,JPN,105,Japan Golf Tour
6629,U.S. Open,Major Championship,217,306,Ryan Brehm,10423,0.07996219,2.361742856,100,0.00038,0.00378,0.01094,USA,99,PGA Tour
6629,U.S. Open,Major Championship,195,148,Shugo Imahira,13485,-0.027611932,2.320113087,102,0.00034,0.00355,0.01233,JPN,101,Japan Golf Tour
6629,U.S. Open,Major Championship,174,352,Xander Schauffele,19895,-0.081021299,2.318012244,103,0.00032,0.00451,0.01386,USA,98,PGA Tour
6629,U.S. Open,Major Championship,295,91,Brandon Stone,15229,0.342209876,2.434449433,103,0.00032,0.00251,0.0073,RSA,83,European Tour
6629,U.S. Open,Major Championship,268,300,Troy Merritt,13367,0.273607768,2.435450967,105,0.00029,0.00288,0.00832,USA,83,PGA Tour
6629,U.S. Open,Major Championship,278,292,Sam Ryder,16715,0.29960034,2.441119334,105,0.00029,0.00256,0.00812,USA,73,Web.com Tour
6629,U.S. Open,Major Championship,210,309,Richie Ramsay,11396,0.052854122,2.246512476,107,0.00026,0.00269,0.0087,SCO,81,European Tour
6629,U.S. Open,Major Championship,320,174,Stephan Jaeger,16394,0.421102805,2.575445457,108,0.00024,0.00272,0.00792,GER,75,Web.com Tour
6629,U.S. Open,Major Championship,234,357,Kyle Thompson,7617,0.131297005,2.37835248,109,0.00023,0.00299,0.01012,USA,67,Web.com Tour
6629,U.S. Open,Major Championship,204,151,Bryson DeChambeau,19841,-0.006139887,2.297601212,110,0.00022,0.00317,0.01039,USA,74,PGA Tour
6629,U.S. Open,Major Championship,310,1021,Michael Putnam,10180,0.3919125,2.344452,111,0.00015,0.00149,0.00485,USA,55,Web.com Tour
6629,U.S. Open,Major Championship,263,401,Ernie Els,874,0.234854315,2.314057885,112,0.00014,0.00192,0.00635,RSA,72,PGA Tour
6629,U.S. Open,Major Championship,289,121,Yusaku Miyazato,7031,0.329276062,2.311483117,113,0.00012,0.00142,0.00547,JPN,105,Japan Golf Tour
6629,U.S. Open,Major Championship,335,141,Matt Wallace,20706,0.469654949,2.395007203,114,0.00011,0.00146,0.00482,ENG,53,European Tour
6629,U.S. Open,Major Championship,386,583,Corey Conners,17576,0.593307357,2.335668805,115,1.00E-04,0.00083,0.00276,CAN,92,Web.com Tour
6629,U.S. Open,Major Championship,452,458,Eddie Pepperell,15113,0.818271495,2.559880882,115,1.00E-04,0.0012,0.00336,ENG,62,European Tour
6629,U.S. Open,Major Championship,306,705,Brice Garnett,11451,0.376812391,2.34580047,117,9.00E-05,0.00144,0.00498,USA,59,Web.com Tour
6629,U.S. Open,Major Championship,385,544,Talor Gooch,18580,0.592544811,2.372733072,117,9.00E-05,0.00106,0.00366,USA,65,Web.com Tour
6629,U.S. Open,Major Championship,527,569,Jack Maguire,19869,0.96357658,2.63893776,119,7.00E-05,0.00101,0.00324,USA,71,Web.com Tour
6629,U.S. Open,Major Championship,401,452,Wade Ormsby,7532,0.644861842,2.324906614,120,6.00E-05,0.00083,0.00241,AUS,44,European Tour
6629,U.S. Open,Major Championship,316,168,Aaron Rai,18554,0.407943726,2.281440006,121,5.00E-05,0.00095,0.00377,ENG,89,European Challenge Tour
6629,U.S. Open,Major Championship,649,229,Oliver Bekker,12819,1.245600155,2.635922601,121,5.00E-05,0.00055,0.00173,RSA,66,Sunshine Tour
6629,U.S. Open,Major Championship,413,620,Angel Cabrera,5717,0.690305967,2.384300396,123,4.00E-05,0.00072,0.00252,ARG,50,PGA Tour
6629,U.S. Open,Major Championship,455,266,Chan Kim,15004,0.829535146,2.429969434,123,4.00E-05,0.00067,0.00215,USA,69,Japan Golf Tour
6629,U.S. Open,Major Championship,492,798,Andres Romero,7751,0.885031788,2.389835162,125,3.00E-05,0.00037,0.00147,ARG,37,PGA Tour
6629,U.S. Open,Major Championship,508,970,Jordan Niebrugge,18284,0.919444708,2.446235586,125,3.00E-05,0.00059,0.00216,USA,28,PGA Tour Canada
6629,U.S. Open,Major Championship,463,350,Joel Stalter,17722,0.843085581,2.369433058,127,2.00E-05,0.00032,0.00162,FRA,84,European Tour
6629,U.S. Open,Major Championship,588,1428,Andy Pope,14127,1.109068252,2.398991234,127,2.00E-05,0.00029,0.00097,USA,8,NA
6629,U.S. Open,Major Championship,611,1129,Ben Kohles,16395,1.154382629,2.331613842,127,2.00E-05,0.00016,5.00E-04,USA,53,Web.com Tour
6629,U.S. Open,Major Championship,888,812,Daniel Chopra,2035,1.690600047,2.468133208,130,1.00E-05,7.00E-05,0.00038,SWE,53,Web.com Tour
6629,U.S. Open,Major Championship,1122,1927,Nick Flanagan,8357,2.054287835,2.508140615,130,1.00E-05,4.00E-05,0.00011,AUS,3,NA
6629,U.S. Open,Major Championship,1184,1729,Daniel Miernicki,14798,2.166059865,2.449517919,132,0,1.00E-05,5.00E-05,USA,31,Web.com Tour
6629,U.S. Open,Major Championship,NA,NA,Garrett Osborn,12848,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Tyson Alexander,14002,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,John Oda,15953,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Derek Barron,16695,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Joaquin Niemann(Am),18079,3,2.5,132,0,0,1.00E-05,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Scottie Scheffler(Am),18417,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Maverick McNealy,18634,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Scott Harvey,19508,3,2.5,132,0,1.00E-05,2.00E-05,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Kevin Dougherty,19738,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Tyler Light,19747,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Davis Love IV,21135,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Brad Dalke,21501,3,2.5,132,0,0,1.00E-05,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Roman Robledo,21900,3,2.5,132,0,0,1.00E-05,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Christopher Crawford,22043,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Scott Gregory(Am),22253,3,2.5,132,0,0,1.00E-05,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Sahith Theegala,23014,3,2.5,132,0,0,1.00E-05,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Stewart Hagestad(Am),23113,3,2.5,132,0,0,0,NA,NA,NA
6629,U.S. Open,Major Championship,NA,NA,Max Greyserman,23465,3,2.5,132,0,0,0,NA,NA,NA
