"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Brett Stegmaier",11354,"USA","268","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Bronson Burgoon",11082,"USA","272","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Erik Compton",6556,"USA","273","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Scott Stallings",12359,"USA","279","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Tyrone van Aswegen",9913,"RSA","283","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Roberto Castro",12643,"USA","285","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Lucas Glover",7399,"USA","290","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Carlos Ortiz",14735,"MEX","293","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Kyle Stanley",12069,"USA","294","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Ricky Barnes",6846,"USA","295","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Tyler Aldridge",11677,"USA","297","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Jeff Overton",10498,"USA","318","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Nick Taylor",13126,"CAN","319","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Luke List",7960,"USA","334","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Ben Crane",6674,"USA","360","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Steve Wheatcroft",10292,"USA","368","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Michael Kim",17543,"USA","378","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Stuart Appleby",5294,"AUS","392","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Meenwhee Kim",11702,"KOR","398","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Mark Wilson",4107,"USA","405","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Andres Gonzales",11640,"USA","420","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
