"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Player_Avg_OWGR_Pts","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
21,12,"Branden Grace","11952",-1.28145708956253,0.474590252637161,2.77232429468113,21,0,-1.30480988445006,0.0233527948875327,90.89086470631,388,-0.177934922474548,0.397077245643057,4.6202,1,"RSA",98,"European Tour","European Tour",-1.48082337440844,0.407970203088581,1.52024315956221e-13,2.70786633442156,2.73140002324468,2016-03-21
22,21,"Charl Schwartzel","7398",-1.26897256529589,0.469426901706446,2.77788361923082,22,0,-1.29628098454786,0.0273084192519661,92.3229169958728,404,-0.258073569370167,0.375718348160069,3.8383,1,"RSA",100,"PGA Tour","PGA Tour",-1.46045839576699,0.407292708890759,2.01708226312157e-13,2.72290146428045,2.7379327577472,2016-03-21
23,24,"Jimmy Walker","7293",-1.24539684901831,0.47625408818765,2.96754220709795,24,-1,-1.27540927480333,0.0300124257850152,86.9032345571123,391,-0.632274292668532,0.384910609055581,3.3513,1,"USA",90,"PGA Tour","PGA Tour",-1.43088807080095,0.408795847365223,4.22014531940949e-13,3.16605025126672,2.9290764405171,2016-03-21
24,32,"Bill Haas","7900",-1.24381580297286,0.478158325566596,2.60572254842424,23,1,-1.27706875712682,0.0332529541539568,85.2671930110571,372,-0.673621479122486,0.386084169601603,3.0562,1,"USA",92,"PGA Tour","PGA Tour",-1.43081223831138,0.409234892504948,4.47544890170884e-13,2.3072112315327,2.5614750857773,2016-03-21
25,18,"Louis Oosthuizen","7672",-1.21826581436706,0.497415569462817,2.74433674986117,26,-1,-1.24013902928756,0.0218732149204999,76.4909777920186,315,-0.364961346197122,0.429992816220747,4.0521,1,"RSA",90,"PGA Tour","PGA Tour",-1.43969442862567,0.413017815833994,6.22165024320163e-13,2.6220279089522,2.69888161057401,2016-03-21
26,33,"Justin Thomas","14139",-1.20924934689642,0.483881393089616,2.74976847807844,25,1,-1.2422162258403,0.0329668789438755,89.495770312998,257,-0.396581467158601,0.445548141632291,2.9753,1,"USA",106,"PGA Tour","PGA Tour",-1.3998667700983,0.407666264586069,6.37108503509145e-13,2.65142374053051,2.70685896944327,2016-03-21
27,17,"Brandt Snedeker","8820",-1.18699745817874,0.479956804581155,2.91159896686765,27,0,-1.21628211193812,0.0292846537593761,84.2408206135496,355,-0.541400547019101,0.390229427465492,4.0574,1,"USA",90,"PGA Tour","PGA Tour",-1.37850596004997,0.409485419833004,1.17584296355422e-12,3.03799703333614,2.87176774994097,2016-03-21
28,23,"J.B. Holmes","7959",-1.13328361454499,0.49862095948177,2.8788881914164,29,-1,-1.16719481593639,0.0339112013914007,74.059822239712,284,-0.678697635343408,0.418242268575472,3.4352,1,"USA",79,"PGA Tour","PGA Tour",-1.34005073566326,0.413725479701986,3.85543149673872e-12,2.96795553292755,2.83537905004644,2016-03-21
29,27,"Marc Leishman","7649",-1.13245042114816,0.489855536094659,2.74761992757112,31,-2,-1.10851594962133,-0.0239344715268301,74.8323081796316,356,-0.478517049841072,0.376417851246132,3.2178,1,"AUS",77,"PGA Tour","PGA Tour",-1.34529363827765,0.413299232057742,3.34934509071145e-12,2.63229571164482,2.70360071388941,2016-03-21
30,72,"Ryan Palmer","7820",-1.11582707187484,0.483075768485407,2.65428901649368,28,2,-1.19619714612251,0.0803700742476738,83.0149832200232,355,-0.499771944254392,0.400332775708942,1.8776,1,"USA",88,"PGA Tour","PGA Tour",-1.30771457584521,0.409818321159627,4.21835017409347e-12,2.41596222518734,2.60995938377999,2016-03-21
